"NetID,Pass, Email,Phone,Name,Pronouns"
"nvo234567,*7Bb2Cc5&Dd8Ee1F,nvo234567@utdallas.edu,9900112233,Noah Victor Owens,he/him"
"owp345678,OoO_O*O_O.O,owp345678@utdallas.edu,0011223344,Oliver Willow Parker,they/them"
"pxq456789,&8Dd1Ee5$Ff6Gg9H,pxq456789@utdallas.edu,1122334455,Penelope Xavier Quinn,she/her"
"qyr567890,=3Ee6Ff9^Gg2Hh5I,qyr567890@utdallas.edu,2233445566,Quinn Yara Rivera,she/they"
"rzs678901,*5*F*f*0*G*g*7*&Hh4Ii8J,rzs678901@utdallas.edu,3344556677,Ryan Zoe Scott,he/him"
"sat789012,^9Gg5Hh2$Ii1Jj7K,sat789012@utdallas.edu,4455667788,Sophia Ava Thompson,she/her"
"tbu890123,57980bIDHAgghwt(*&)^*t,tbu890123@utdallas.edu,5566778899,Taylor Brooke Upton,she/they"
"ucv901234,)_7Ii4Jj9&K326y4hbk2Ll5M,ucv901234@utdallas.edu,6677889900,Umair Cole Vance,he/him"
"vdw012345,=5Jj0Kkdg8^Ll3Mm6N,vdw012345@utdallas.edu,7788990011,Victoria Dawn Wilson,they/she/he"
"wex123456,a6a6a66a6a6aa6&3Kk6Ll1$Mm4Nn9O,wex123456@utdallas.edu,8899001122,William Ethan Xu,he/him"
